N;data;resultado;mandante;gremio;inter;saldo_gremio;saldo_inter;campeonato;estadio;gols
365;09/04/2006;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Fernandão (I), Pedro Jr. (G)
366;30/07/2006;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Brasileiro;Beira-Rio;
367;05/11/2006;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Brasileiro;Olímpico;Iarley (I) 
368;24/06/2007;Internacional 0 X 2 Grêmio;Internacional;2;0;2;-2;Brasileiro;Beira-Rio;Lúcio (G), Diego Souza (G)
369;16/09/2007;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Brasileiro;Olímpico;Léo (G)
370;29/06/2008;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Brasileiro;Olímpico;Índio (I), Roger (G)
371;13/08/2008;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Outros;Beira-Rio;Daniel Carvalho (I), Léo (G)
372;28/08/2008;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Outros;Olímpico;Nilmar (I), Índio (I), Perea (G), Soares (G)
373;28/09/2008;Internacional 4 X 1 Grêmio;Internacional;1;4;-3;3;Brasileiro;Beira-Rio;D'Alessandro (I), Alex (I), Índio (I), Nilmar (I), Tcheco (G)
374;08/02/2009;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Gaúcho;Outros;D'Alessandro (I), Nilmar (I), Jonas (G)
375;01/03/2009;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Gaúcho;Beira-Rio;Índio (I), Magrão (I), Alex Mineiro (G)
376;05/04/2009;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Gaúcho;Beira-Rio;Tcheco (G), Andrezinho (I), Índio (I)
377;19/07/2009;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Brasileiro;Olímpico;Nilmar (I), Souza (G), Maxi López (G)
378;25/10/2009;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Brasileiro;Beira-Rio;D'Alessandro (I)
379;31/01/2010;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Outros;Alecsandro (I)
380;25/04/2010;Internacional 0 X 2 Grêmio;Internacional;2;0;2;-2;Gaúcho;Beira-Rio;Rodrigo (G), Borges (G)
381;02/05/2010;Grêmio 0 X 1 Internacional;Grêmio;0;1;-1;1;Gaúcho;Olímpico;Giuliano (I)
382;01/08/2010;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Brasileiro;Beira-Rio;
383;24/10/2010;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Brasileiro;Olímpico;Alecsandro (I), D'Alessandro (I), André Lima (G), Fábio Santos (G)
384;30/01/2011;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Gaúcho;Outros;Guto (I), Bruno Collaço (G), Lins (G)
385;01/05/2011;Internacional 1(4) X (2)1 Grêmio;Internacional;1;1;0;0;Gaúcho;Beira-Rio;Leandro Damião (I), Junior Viçosa (G)
386;08/05/2011;Internacional 2 X 3 Grêmio;Internacional;3;2;1;-1;Gaúcho;Beira-Rio;Andrezinho (I), Leando Damião (I), Júnior Viçosa (G), Júnior Viçosa (G), Leandro (G)
387;15/05/2011;Grêmio 2(4) X (5)3 Internacional;Grêmio;2;3;-1;1;Gaúcho;Olímpico;Leandro Damião (I), Andrezinho (I), D'Alessandro (I), Douglas (G), Borges (G)
388;28/08/2011;Grêmio 2 X 1 Internacional;Grêmio;2;1;1;-1;Brasileiro;Olímpico;Índio (I), Marquinhos (G), Douglas (G)
389;04/12/2011;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Brasileiro;Beira-Rio;D'Alessandro (I)
390;05/02/2012;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Gaúcho;Olímpico;Dátolo (I), Bolívar (I), Marcelo Moreno (G), Marquinhos (G)
391;22/02/2012;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Gaúcho;Beira-Rio;Léo Gago (G), Kléber (G), Leandro Damião (I)
392;29/04/2012;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Gaúcho;Beira-Rio;Dátolo (I), Fabrício (I), Werley (G)
393;26/08/2012;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Brasileiro;Beira-Rio;Elano (G)
394;02/12/2012;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Brasileiro;Olímpico;
395;03/02/2013;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Gaúcho;Outros;Forlán (I), Leandro Damião (I), Fernando (G).
396;24/02/2013;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Gaúcho;Outros;Forlán (I), Rodrigo Moledo (I), Willian José (G).
397;04/08/2013;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Brasileiro;Arena;Leandro Damião (I), Barcos (G)
398;20/10/2013;Internacional 2 X 2 Grêmio;Internacional;2;2;0;0;Brasileiro;Outros;Willians (I), D'Alessandro (I), Jackson (contra, G), Vargas (G)
399;09/02/2014;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Gaúcho;Arena;Fabrício (I), Barcos (G)
400;30/03/2014;Grêmio 1 X 2 Internacional;Grêmio;1;2;-1;1;Gaúcho;Arena;Barcos (G), Rafael Moura (I), Rafael Moura (I)
401;13/04/2014;Internacional 4 X 1 Grêmio;Internacional;1;4;-3;3;Gaúcho;Outros;Alex (I), Alex (I), D'Alessandro (I), Alan Patrick (I), Ernando (contra, G)
402;10/08/2014;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Brasileiro;Beira-Rio;Aránguiz (I), Cláudio Winck (I)
403;09/11/2014;Grêmio 4 X 1 Internacional;Grêmio;4;1;3;-3;Brasileiro;Arena;Luan (G), Ramiro (G), Alan Ruiz (G), Alan Ruiz (G), Rafael Moura (I)
404;01/03/2015;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
405;26/04/2015;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Arena;
406;03/05/2015;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Gaúcho;Beira-Rio;Nilmar (I), Valdívia (I), Giuliano (G)
407;09/08/2015;Grêmio 5 X 0 Internacional;Grêmio;5;0;5;-5;Brasileiro;Arena;Giuliano (G), Luan (G), Luan (G), Fernandinho (G), Réver (contra, G)
408;22/11/2015;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Brasileiro;Beira-Rio;Vitinho (I)
409;06/03/2016;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Gaúcho;Arena;
410;03/07/2016;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Brasileiro;Beira-Rio;Douglas (G)
411;23/10/2016;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Brasileiro;Arena;
412;04/03/2017;Grêmio 2 X 2 Internacional;Grêmio;2;2;0;0;Gaúcho;Arena;Roberson (I), Brenner (I), Bolaños (G), Fernandinho (G)
413;11/03/2018;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Gaúcho;Beira-Rio;Luan (G), Luan (G), Rodrigo Dourado (I)
414;18/03/2018;Grêmio 3 X 0 Internacional;Grêmio;3;0;3;-3;Gaúcho;Arena;Everton (G), Jael (G), Arthur (G)
415;21/03/2018;Internacional 2 X 0 Grêmio;Internacional;0;2;-2;2;Gaúcho;Beira-Rio;Nico López (I), D'Alessandro (I)
416;12/05/2018;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Brasileiro;Arena;
417;09/09/2018;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Brasileiro;Beira-Rio;Edenilson (I)
418;17/03/2019;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Gaúcho;Arena;Leonardo Gomes (G)
419;14/04/2019;Internacional 0 X 0 Grêmio;Internacional;0;0;0;0;Gaúcho;Beira-Rio;
420;17/04/2019;Grêmio 0(3) X (2)0 Internacional;Grêmio;0;0;0;0;Gaúcho;Arena;
421;20/07/2019;Internacional 1 X 1 Grêmio;Internacional;1;1;0;0;Brasileiro;Beira-Rio;Paulo Miranda (contra, I), Luan (G)
422;03/11/2019;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Brasileiro;Arena;Geromel (G), Rômulo (G)
423;16/02/2020;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Gaúcho;Beira-Rio;Diego Souza (G)
424;12/03/2020;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Outros;Arena;
425;22/07/2020;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Gaúcho;Outros;Jean Pyerre (G)
426;05/08/2020;Grêmio 2 X 0 Internacional;Grêmio;2;0;2;-2;Gaúcho;Arena;"Maicon (G); Isaque (G)"
427;23/09/2020;Internacional 0 X 1 Grêmio;Internacional;1;0;1;-1;Outros;Beira-Rio;Pepê (G)
428;03/10/2020;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Brasileiro;Arena;"Pepê (G); Thiago Galhardo (I)"
429;24/01/2021;Internacional 2 X 1 Grêmio;Internacional;1;2;-1;1;Brasileiro;Beira-Rio;"Jean Pyerre (G); Abel Hernández (I); Edenilson (I)"
430;03/04/2021;Grêmio 1 X 0 Internacional;Grêmio;1;0;1;-1;Gaúcho;Arena;Léo Chú (G)
431;16/05/2021;Internacional 1 X 2 Grêmio;Internacional;2;1;1;-1;Gaúcho;Beira-Rio;Thiago Galhardo (I), Diego Souza (G), Ricardinho (G)
432;23/05/2021;Grêmio 1 X 1 Internacional;Grêmio;1;1;0;0;Gaúcho;Arena;Ferreira (G), Rodrigo Dourado (I)
433;10/07/2021;Grêmio 0 X 0 Internacional;Grêmio;0;0;0;0;Brasileiro;Arena;
434;06/11/2021;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Brasileiro;Beira-Rio;Taison (I)
435;09/03/2022;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Beira-Rio;David (I)
436;19/03/2022;Internacional 3 X 0 Grêmio;Internacional;3;0;3;-3;Gaúcho;Beira-Rio;Elias (G), Bitello (G), Diego Souza (G)
437;23/03/2022;Internacional 1 X 0 Grêmio;Internacional;0;1;-1;1;Gaúcho;Arena;Taison (I)
